game_date,player,team,opp,stat,pred_mean,baseline_mean,minutes_proj,dist_name,dispersion,is_eligible,eligibility_reason,model_name,model_version,line,side,p_hit,edge_raw,edge_abs,score_safe,score_balanced,score_lotto,game_key,ticket_type,leg_order,ticket_id
2025-01-02,Norman Powell,LAC,OKC,ast,1.9909853108799707,1.7999999999999998,36.983333599999995,poisson,0.0,1,ok,ast_hgbr,v1,0.5,over,0.8634391957116732,1.4909853108799707,1.4909853108799707,0.9091318178203537,0.9221868527085482,0.9352418875967425,LAC_OKC,lotto,1,2025-01-02_lotto_1
2025-01-02,Bennedict Mathurin,IND,MIA,ast,1.963593723415969,2.0,34.6299998,poisson,0.0,1,ok,ast_hgbr,v1,0.5,over,0.859646876790626,1.463593723415969,1.463593723415969,0.9002754443743166,0.9118836065410856,0.9234917687078543,IND_MIA,lotto,2,2025-01-02_lotto_1
2025-01-02,Kevin Love,MIA,IND,ast,1.9486501089982982,1.1875,0.0,poisson,0.0,0,minutes_lt_10,ast_hgbr,v1,0.5,over,0.8575337442398162,1.4486501089982982,1.4486501089982982,0.8954150671767278,0.9062383023015598,0.9170615374263917,IND_MIA,lotto,3,2025-01-02_lotto_1
2025-01-02,Dennis Schröder,GSW,PHI,fg3,1.9814329169389002,1.8369565217391306,29.153334,nbinom,0.16167095985722266,1,ok,fg3_composed,v1,0.5,over,0.8207292182780412,1.4814329169389002,1.4814329169389002,0.8791414420548368,0.895830648848207,0.912519855641577,GSW_PHI,lotto,4,2025-01-02_lotto_1
2025-01-02,Max Christie,LAL,POR,reb,2.9915272452348582,2.0,29.086666799999996,poisson,0.0,1,ok,reb_hgbr,v1,1.5,over,0.7995826465264044,1.4915272452348582,1.4915272452348582,0.8677515121151018,0.8872283308547299,0.9067051495943577,LAL_POR,lotto,5,2025-01-02_lotto_1
